,returns,vol,sharp,LCTX,CALA,NERV,HLX,VBIV,CDXC,ECOR,JILL,WTTR,CHRA
414,0.5351534014307532,0.5809187033946943,0.921219093658882,0.2000708923148301,0.03926984154755289,0.09909748050484016,0.12966538368912944,0.052630181881168074,0.05326273989840306,0.13383061502234986,0.13836916384014056,0.06369851062639277,0.09010519067519299
179,0.5351172718818598,0.5455219625777502,0.9809270910987246,0.12733856146458913,0.1755064065977085,0.11046274348354655,0.08846801611067068,0.0915123769134156,0.05194255373875098,0.1273817181368202,0.031446254897039914,0.17358044493291555,0.022360923724542854
465,0.5350155504308464,0.49794928071637545,1.0744378416636038,0.1342381500791793,0.11779168350229935,0.14857128903694442,0.010926591589338673,0.14273342148592322,0.1359949390727334,0.0704116075283544,0.023608349016267946,0.08485033471802476,0.13087363397093443
24,0.5349498505891457,0.5681090977495739,0.9416322546289428,0.05698085842076613,0.10280557288216453,0.03605518776238816,0.2056558593477178,0.09084879023684085,0.17945020547184617,0.15514194993649036,0.053550679882302,0.09959425135509907,0.019916644704384933
316,0.5348745350925435,0.6835464896112738,0.7824991324243671,0.048379640720836496,0.06810231299283243,0.06494391562252158,0.02067071157908096,0.16824462350118866,0.028955580506547746,0.18994332379749604,0.2936176416492315,0.07121580327248773,0.04592644635777688
1830,0.5348666801228394,0.5685022103718305,0.9408348294248643,0.16847081724306986,0.044280968047935215,0.11096586275481676,0.11202290940171263,0.040544394016838264,0.1105012060915115,0.15246993779843493,0.053700725218359176,0.10363314869596645,0.10341003073135516
628,0.5348259378076222,0.5443456976593485,0.9825115548948754,0.014896511864897656,0.165039717485383,0.1498562834610767,0.06917402117015384,0.16090374764257623,0.13143401338953176,0.13402241418251845,0.023602922577906204,0.14321248996188307,0.00785787826407296
1991,0.534475714424335,0.4929266145544673,1.084290640113685,0.12138049508796661,0.014742431769917455,0.10625852307930704,0.13053048290541336,0.16273404535956543,0.21217638997303878,0.024545211782384366,0.01936669341253393,0.026883782429681775,0.18138194420019135
860,0.5343008760331911,0.5018403116171261,1.0646830548774857,0.0905634004196282,0.06791943221875212,0.1878571963561962,0.07330559713885247,0.1749558321777318,0.16924066452537448,0.057826726028554785,0.07101341398553138,0.027796940504324807,0.07952079664505372
1981,0.5341859266627168,0.5661222857589523,0.9435875253463638,0.18476344834522337,0.016956907314132897,0.09082634704800496,0.07652535766072052,0.017056596131758143,0.17627266017491286,0.1564900876763517,0.05808902794771243,0.13547289826874304,0.08754666943244012
1116,0.5341546489218634,0.6009384217657338,0.8888675271458929,0.198395288410939,0.0028151849769349094,0.16573951147743202,0.052196051580648065,0.010388152169773823,0.18625467220530467,0.17163910321043227,0.07832120428918203,0.0023570648677119425,0.1318937668116412
1475,0.534152869471725,0.56426616143086,0.9466328232712485,0.08944221137882648,0.09976994774376272,0.06635755311739513,0.02330261122394772,0.12856336223677184,0.13859590137275118,0.1490359608781139,0.16450949894640443,0.08707543984993457,0.053347513252092076
654,0.5341291853336342,0.5001766650068274,1.0678810562390857,0.16357131379304776,0.16804860709287409,0.07026606141246045,0.05607902467668406,0.16257077230422734,0.09696648814259494,0.021430049286602148,0.10839563289643038,0.10902946403051068,0.04364258636456829
131,0.5340899893936077,0.5252376656307316,1.0168539393538083,0.13281793699495728,0.16732226224641905,0.025774797455580346,0.15944384245415955,0.11535606928524206,0.09176183675288815,0.08838009700788767,0.010850721601814866,0.046743787689270816,0.16154864851178022
904,0.533938223245198,0.6122239903911153,0.8721288803205752,0.06730255332173754,0.036067849664544134,0.1292599144082556,0.16182094863568736,0.08638008006478644,0.08454873950316939,0.18850652680518423,0.04949316996723231,0.07823689462314717,0.11838332300625601
250,0.5339155175553137,0.596318617989244,0.8953527551355845,0.029277030589329404,0.16325427526179584,0.07860463811746694,0.18667938278167406,0.13779962783232047,0.0763924598616319,0.1609145512181695,0.1152962666389868,0.045994780846572964,0.005786986852051978
638,0.5337666073390189,0.5958908753580376,0.8957455625047259,0.060012031575042424,0.16490392328488956,0.08573917876048262,0.11398492469862216,0.09475886334220547,0.068997288125182,0.18403227593322233,0.05145947507175753,0.15207700498384458,0.02403503422475143
1278,0.5336948603556007,0.5514464129021583,0.9678091068665501,0.09451056943843986,0.1785905928577056,0.09072360491918895,0.008028631875827525,0.148167410677117,0.09083905784313068,0.12868423888574074,0.13999795698803702,0.06307238348296451,0.05738555303184806
1513,0.5336898313764372,0.5915808221624693,0.9021418737436131,0.10081000554521963,0.07186268997333634,0.011850103988814793,0.07420382114379037,0.1310786785781873,0.09016599848583343,0.1501514674769727,0.16584151283144158,0.04025594122050022,0.1637797807559037
1361,0.533663711687523,0.49644945474845736,1.0749608174268648,0.16543581863619772,0.06913005330339643,0.18309159319699136,0.12764856885498166,0.10619881682656694,0.1952361489788423,0.04889551707711501,0.07247105931554139,0.012274192335875816,0.019618231474491262
996,0.5335158266812381,0.5531267337331501,0.9645453639176784,0.11811767171750331,0.1568342450050806,0.1445041601235534,0.05689263479359299,0.0937958747389232,0.090728203395125,0.14665262620504566,0.07225715805188519,0.07631102209104923,0.04390640387824133
1386,0.5334324910759148,0.6797028514039412,0.7848024912270094,0.02781751489912942,0.028428000977534708,0.039369997867923556,0.03120131203406701,0.14444658206245573,0.08039840012597929,0.21828874872310217,0.21300186209759958,0.08121961107271987,0.1358279701394886
1979,0.5333372349306028,0.5321290344095132,1.0022705029099386,0.11934604435715468,0.03641896464952521,0.12620863470701157,0.09813229755086851,0.11704276437617105,0.1346911867855066,0.11291056683631805,0.11470910953571481,0.053331259245960605,0.0872091719557689
1127,0.5332683602029366,0.5065378012978926,1.0527711038278935,0.15181600172194162,0.047963691887445176,0.10724226940527412,0.05449260528303544,0.1665142613172546,0.08707138372510471,0.03643428290582516,0.10163190495112963,0.11409842514333952,0.13273517365965007
1890,0.5332073378337585,0.5596338948707692,0.9527788483163389,0.14802827021320805,0.0321380572512742,0.1514579608743562,0.09547255231990502,0.04608144602672967,0.13824979114359962,0.1501422764510436,0.015043696908004632,0.12448278750272986,0.0989031613091491
46,0.5331459548963619,0.5766495321739342,0.9245580290101572,0.12438985332844266,0.0022376547019059174,0.02283788794554234,0.056899959651199906,0.11647143112499761,0.09571371320713996,0.1368072068909702,0.163267165836591,0.14271796296258749,0.13865716435062286
1062,0.5330746805061831,0.5688162717779971,0.9371649633719277,0.017356694450272176,0.04289722864755265,0.08718190917963002,0.15646506314808659,0.1445108503200833,0.15944691112954312,0.1515748096058903,0.10146100394439718,0.08402723365103999,0.055078295923504654
475,0.5328642460658206,0.5689502434897482,0.9365744230943847,0.22511605392866318,0.018932045264024852,0.034225438383114544,0.07366593068341447,0.0010268997592234718,0.18183487516065353,0.14278331744439002,0.10389780269274665,0.1479025480334421,0.07061508865032726
1848,0.5328298631415396,0.5364036699740838,0.9933374675965269,0.11486904771739255,0.1033300683543245,0.060827600763467,0.09322229756300007,0.1412446245600927,0.052243434412818424,0.10339080142131266,0.11035751498515649,0.10965126400462363,0.11086334621781198
1018,0.5327405321407925,0.5856289871457498,0.9096894857224774,0.16495180239882673,0.14405039839354308,0.021463491818130245,0.009435137279775971,0.12968660005413826,0.023535807069533163,0.12070425264543652,0.1826841931103395,0.0328214442059138,0.17066687302436268
1858,0.5327292244778683,0.511062647639372,1.0423951484980862,0.08136210565429235,0.11585249252148565,0.055660635410071206,0.14103853132906508,0.13899741154608977,0.13301897895741113,0.08387709307524578,0.021631563569727463,0.1677099303153454,0.060851257621266225
1795,0.5326041048703011,0.5944623408748404,0.8959425488358007,0.14669653211226796,0.13394428789047616,0.08691894500907058,0.21368358512508692,0.05149070845970855,0.04023289865814576,0.15198818855922355,0.08610038088207803,0.057131257976837685,0.03181321532710479
506,0.5325560519079086,0.5730907574721613,0.9292700064767284,0.09239577835112513,0.04671868020893656,0.09081549309003752,0.11359964269181357,0.082445345030285,0.1201164501783065,0.1609130403963474,0.002331031279528244,0.13723664109533537,0.15342789767828455
671,0.5324936812457457,0.5851241650382862,0.9100524522190999,0.07807239099736904,0.04902843853718271,0.05781196315342012,0.007517062960645991,0.17023568122482702,0.050170736921653525,0.13756938457641238,0.13770696471875288,0.1039757399251561,0.20791163698458018
80,0.5324295188288118,0.5434251278062872,0.9797661013176504,0.14067269377162392,0.12567103268501947,0.013489222408066997,0.18426887919981438,0.06193232281339783,0.13918575238937775,0.1033328443717581,0.007348674392509234,0.20589078898016683,0.018207788988265455
1331,0.5322503191277465,0.5711588017942938,0.9318779951489561,0.055353776075616416,0.1885826221449359,0.11391178466030451,0.047951007152430045,0.19063968183041555,0.014930431841453807,0.12143049206331784,0.07836312246683608,0.01591689138015553,0.17292019038453438
1928,0.5321033731835345,0.5370469249925649,0.9907949350811406,0.01515431211452389,0.15366955887718,0.014446667959238787,0.19632183826138477,0.21495242108037893,0.11676088121171084,0.0577787125326316,0.0832353223081929,0.10848478781902417,0.039195497835734006
1764,0.5319568144007479,0.6321755530687164,0.8414700818760151,0.013839369100930803,0.005470525051309294,0.08125477880527349,0.0812503938267085,0.18161720134973258,0.026695568036561524,0.17198327796181354,0.17290141761780992,0.1234383289456964,0.14154913930416396
1551,0.5319279645221996,0.5460244111795142,0.9741834863630664,0.16306194248008546,0.13782904593212897,0.07769177997496803,0.017817732667882124,0.10266528041579744,0.09914012840146649,0.12074176163013688,0.12600122859793877,0.0285034490913638,0.12654765080823202
815,0.5317395384083805,0.551419989451056,0.9643095074187145,0.0952707526512529,0.0907769452954039,0.017249723499944823,0.05059058360620706,0.18486605726711733,0.06465844758442726,0.09203579184313174,0.14763238810776078,0.06858661939859204,0.1883326907461622
91,0.531639851141719,0.5245884122662516,1.0134418502402764,0.10298226315331424,0.1304968507782601,0.06941685148895646,0.02236622903301089,0.14903322641753933,0.11844617426647913,0.10472196566373744,0.05666095128552919,0.06375262779891258,0.1821228601142605
224,0.5314322755136234,0.506840169212146,1.0485204366096403,0.14602346726282714,0.00414104671537532,0.13619739157334362,0.09651456746471179,0.15583338898906918,0.13500135993541404,0.038533501765612474,0.10758222251658921,0.05104782146496846,0.1291252323120887
1319,0.5314113611237443,0.4947652675771911,1.074067635600221,0.13561436512031733,0.13536405199399737,0.16283975977700949,0.1433151615153559,0.15494438250544887,0.15325113117028677,0.016773375584412612,0.040904727447547334,0.003741522392930968,0.05325152249269331
65,0.5311449053820227,0.5669852481860713,0.9367878742547344,0.06846254202570277,0.05021524175266255,0.0708085531073334,0.09171412223579108,0.15285414661488372,0.06983847785217294,0.1263091382588914,0.1619211773046817,0.1687605600894543,0.039116040758426104
819,0.5307715480668028,0.5765994373600793,0.9205204058070255,0.04543205716323733,0.18068763370638732,0.20959486400527283,0.00556671885111773,0.1161877098352166,0.12327777357026583,0.1701666032714309,0.015479126881842938,0.12006381149548367,0.013543701219744707
38,0.5303921665118349,0.5169925716355688,1.025918350884375,0.0899718185667064,0.11423990836178524,0.15591532237384362,0.043661976229594716,0.14214699673135578,0.17688158385305175,0.09874042614626946,0.016593884495765997,0.006297532835261593,0.15555055040636556
73,0.5299538937278003,0.5173343873649516,1.0243933260016336,0.1829190496762244,0.029130644210171187,0.11660505318858405,0.01717905946762924,0.13080838060735395,0.23761946617914628,0.0344682013451928,0.20597106412538255,0.04409821568139993,0.0012008655189157079
113,0.529948213454385,0.5485280252268122,0.9661278714706608,0.05077834319354489,0.1605832104827831,0.12367516970859682,0.17571877019903678,0.1799543698586113,0.03865810337789826,0.09378362213438685,0.08617731230026995,0.018530900391120587,0.07214019835375132
438,0.5298190199423478,0.5734464059961007,0.92392072633541,0.14730215065711694,0.047855128197748474,0.06702931351467005,0.18046411745269322,0.06840631995563713,0.07598804664212698,0.13267759746661562,0.030337166130528097,0.05583972434539827,0.1941004356374653
28,0.5295955749798337,0.49065125472970655,1.079372711013612,0.13190710466169495,0.17094634759029093,0.1112339969378801,0.03102890980570146,0.1227419344488142,0.14920887209427386,0.0695662469918526,0.046621651374847424,0.161156661566811,0.0055882745278335085
1987,0.5295159989301498,0.4955981959954826,1.0684381081463346,0.17814369454995818,0.19542901418485004,0.03490869790943179,0.10447595856276465,0.12721582981313823,0.1444092247720546,0.007305035245152612,0.04591517416602762,0.14736000347356065,0.0148373673230618
1034,0.5294557018745881,0.5390554156996201,0.9821916011871008,0.2066796885714356,0.04310011117315643,0.13570389640446717,0.05402378251858419,0.07391163750281829,0.06570378880435544,0.08372363175921499,0.12811326382107802,0.2062225004321385,0.0028176990127513394
876,0.5293114757868285,0.5669460735921592,0.9336187345528674,0.12594534499319845,0.0025578971234523885,0.04879436980605733,0.1291849141579146,0.12135888188023129,0.059321378018112006,0.10185526761259733,0.16291228945171943,0.19676456516763863,0.051305091789078404
1318,0.5292671910807102,0.5594956174342792,0.9459720051209878,0.024736217171199202,0.12008046445953645,0.06905650181629418,0.008274537900058266,0.21263559216716652,0.06405828229503742,0.11011915551597429,0.04347608970058177,0.11846012250717278,0.22910303646697897
1454,0.5290999606402271,0.5307966844457512,0.9968034393295132,0.05137951795121697,0.027729965630353848,0.058971016608980256,0.11193334750516423,0.1705821314859045,0.11868131381224259,0.09331639184244421,0.042418186724696584,0.1603655881616752,0.16462254027732162
418,0.5288790168412967,0.5826401745748699,0.9077283715068212,0.013890275021859442,0.03339758918886694,0.1076603123730393,0.10286251274268181,0.14184141162230435,0.1781011707757639,0.1667563365727627,0.053466596300361824,0.02907938116881139,0.17294441423354837
37,0.5287584660877361,0.5211060024631059,1.0146850421765619,0.07950763374195718,0.14111016286625164,0.20497749739027488,0.05554212897992038,0.1714790925037712,0.062257149316089964,0.0724268479030713,0.03521070769851035,0.13513415186560263,0.04235462773455044
835,0.5286107214389854,0.5119549291378059,1.0325337082489465,0.13764975234019336,0.10601440406741493,0.11390449413924651,0.09287466066470701,0.15639789558542383,0.04798550867557074,0.03246550980670207,0.047967217159702015,0.197289974891344,0.0674505826696954
1443,0.5284061679396265,0.5737211962399476,0.9210155932928632,0.07910623243306064,0.14582219008810415,0.025886655168467342,0.11863051620395994,0.0692738053526549,0.1579236272970361,0.17441463141030233,0.04577753378678475,0.13453557178675615,0.04862923647287347
1638,0.5283962155470352,0.5169675818880333,1.022107060596069,0.1536024624962809,0.1540947007241255,0.11857101015053315,0.01406866103416541,0.14448180598905003,0.07751626151020949,0.06554480572433187,0.14334663877212867,0.09327635717655884,0.0354972964226162
542,0.528166092570433,0.5009245838859795,1.0543824550856027,0.18602909388225666,0.1668963558482224,0.045804683914979015,0.015399991008301023,0.12222287025834103,0.17371089521178704,0.051752997050765207,0.14066678142580552,0.020944041927962377,0.0765722894715798
668,0.52807835967449,0.5135305617274739,1.0283289818196575,0.16582564574096195,0.0008944132642608804,0.04148206658204071,0.09579021478791144,0.10018307848045534,0.14731885316965493,0.07204776038950556,0.06722300071197347,0.15340026524919323,0.15583470162404248
1658,0.5280540720915452,0.5360278887860739,0.9851242503210295,0.05990065989409383,0.15578409015823655,0.169792599135734,0.09311386864854695,0.1722593702022252,0.03669246772290996,0.08853616815813749,0.05935447336848327,0.14877794627928015,0.01578835643235263
470,0.5279692470641023,0.5170307112872784,1.0211564526787773,0.08101488170889837,0.156714922040975,0.08162288948246443,0.0004470777062807137,0.19770200939285013,0.07463535719515764,0.06993162562167805,0.11339216114347299,0.1317355275123367,0.09280354819588589
930,0.5279542007093599,0.5506526909037206,0.9587789353083732,0.08613533237686324,0.12981063890263905,0.129397316946508,0.14207730649255973,0.10473070326441714,0.0682660646451134,0.1308663910916823,0.04463436821445088,0.13824459621525498,0.025837281850511158
1566,0.527446111081483,0.5293448206204519,0.9964130950847061,0.13426236193062424,0.03539290582536941,0.04942385933031051,0.11725604985773934,0.13412013484920168,0.11595676778855887,0.08191800970109883,0.13235402135406016,0.04198932559864514,0.1573265637643918
858,0.5274358641416522,0.5419347490127602,0.9732460690193413,0.06926344118515183,0.030661310711508787,0.12260123044066838,0.2159038915200331,0.1471144630206617,0.10004170457731142,0.06146399396201629,0.014407849239028199,0.198986142628973,0.03955597271464733
711,0.5274292462546263,0.5659186621806115,0.931987724565087,0.10951322987112468,0.012341373965215416,0.14289158588127596,0.1485516541593788,0.0847358544542258,0.1483972458552393,0.14221373935553897,0.12648318908683143,0.026222017915801137,0.058650109455368464
1342,0.5273366611739709,0.5633969452682177,0.9359948888663578,0.10509271132096738,0.05128144445319734,0.07636341644967164,0.16723425342860965,0.07008130658136565,0.1350607614109863,0.15060358510141603,0.04936865605739551,0.0867053446349189,0.10820852056147175
726,0.5273252825885693,0.5277247306999829,0.9992430748680589,0.08201810868408868,0.004486987592014348,0.10165162892206435,0.14771557601077853,0.13007373276698758,0.1481793449886637,0.09751167639868415,0.09472101443761362,0.13945441851931398,0.05418751167979094
