,return,shp,vol,SCG,YGYI,TEUM,GEN,CFMS,ASRT,PTN,SONM,AVCO,USWS,PTE,RMTI,SVRA,HNRG,CSLT,TXMD,GERN,REI,OSG,CCO,TH,LEE,UEC,NEXT,FTK,AGE,GALT,ACRX,PEI,RRD,MLND,TTI,PHUN,MBII,ATHX,CHS,TYME,ANH,XELA,ADMA,EXPR,SB,NR,ECOR,SND,WTI,CASI,NINE,DS,MRKR,PIRS,ABEO,GORO,CRBP,AT
577,5.240247180928632,13.613386992326705,0.38493338828039925,0.0044047183819968805,0.008149590956027053,0.012956808982413711,0.02779901468854126,0.011952205574917132,0.025429307440502372,0.010281873240621894,0.02179882940023664,0.009129612447102944,0.020784400456184713,0.018240788561597294,0.01735194745600002,0.030315794597654218,0.0009788337674944184,0.032296291408003504,0.013141266332831398,0.004558920175857037,0.006655002480055572,0.028641821131216442,0.02673935672650466,0.0068886280874688255,0.00696219534106622,0.01298219656121168,0.015020134211191355,0.02033948305106402,0.025714271043474287,0.004287127280417499,0.021639031223950916,0.024239598376692307,0.032198465037296016,0.024752003098404442,0.02824987916289731,0.0334386036052963,0.033352680151870394,0.024279632229330203,0.02417351425862053,0.02036450500143094,0.03300254384936876,0.0025406475765453007,0.010999264376106248,0.015567180454808168,0.0128273945860649,0.01633879813294314,0.016678511153027258,0.0266245147652365,0.02107138213937927,0.016834871308669133,0.003806905825290655,0.02323094577669535,0.014011141541724687,0.011246976900686741,0.026462159143677517,0.02580816121371812,0.005180901609067786,0.027279367719548014
1489,5.240060467229242,12.667735211847583,0.4136540888799476,0.024270370596696147,0.02074253894061116,0.0034318087654915024,0.02302186133783714,0.03673379866991253,0.020648454498868752,0.017387272421701273,0.010321862451853783,0.0019279688750545735,0.022482845852867094,0.01851812288699509,0.02787115381640478,0.019315466600861367,0.020307102120807528,0.002634696070107247,0.01890976524469936,0.027476189169876028,0.03970712938320248,0.019841032095574074,0.013395629682683768,0.02228555410822692,0.02916122385318871,0.012147120918043687,0.016593144335235375,0.016133278631777163,0.014374354168857,0.017035783768386395,0.012761113158102263,0.017385465205611732,0.01510648925010744,0.010726698290198235,0.007812284258346439,0.02279481477302808,0.01298688213003382,0.02623834253701451,0.02474239463479782,0.030412016666298468,0.01256202093708657,0.0029714364783462676,0.01397108731923542,0.007586902644652594,0.033280730657700194,0.02840508852623076,0.013335621261108651,0.022339158956172833,0.008845249178825072,0.0041324522548454624,0.025196166519709542,0.012006154263647099,0.009989807479621665,0.026961384427882665,0.02171766092992219,0.032270211492188845,0.025035219608411995,0.001751616895052462
546,5.2399526506612615,13.626215439415722,0.38454937645444603,0.024032209725988567,0.002244711323730738,0.03153980248723771,0.018093805455639267,0.02417623769971186,0.025031037444764596,0.024021192954707934,0.020805598824319874,0.006632922588711524,0.01995229970941109,0.012830026559890672,0.02259698847161807,0.02662964330995598,0.0019601512568468583,0.009210147066937863,0.0287552584728899,0.019686954737418133,0.01167252405683364,0.02971583429894322,0.004801566385871618,0.025797269101516737,0.02791416999428606,0.005442133205822853,0.026545825912696636,0.01082403896543638,0.0202120703216978,0.013701490076634992,0.013170414171073373,0.005375627892505525,0.03308824418456609,0.031832520154952235,0.010783911351713433,0.02319140860709775,0.022700367871780192,0.0217393838879198,0.00257752637966606,0.023107349301972984,0.0004932058713493759,0.011156175617903618,0.011354426495761485,0.022891367226760783,0.03021932733381227,0.01953448017638805,0.028060304370597026,0.029069898438514742,0.007003366726681602,0.025736403631497182,0.027799099289231032,0.00026875171063783326,0.03213380199885395,0.01484505976442429,0.011310273759957037,0.029383162367150488,0.010811953258654408,0.005536277749056834
296,5.239732196650553,11.793888012038902,0.44427522046181606,0.030659048677321003,0.007242838676882459,0.0035626181937460063,0.023778497528345977,0.003959013258025783,0.005294855505252011,0.03076933105513172,0.017629333946478903,0.015936592689664696,0.0337618406726935,0.001298247497081921,0.006585632206275148,0.009308026842318283,0.02691128671985952,0.024301719101552193,0.005719854362319615,0.03155004670473384,0.010183143239066514,0.008665483250977588,0.006499866970065154,0.006719059842846077,0.007008492187546582,0.03337962872262555,0.03351901483420976,0.03615350875256942,0.02404662660475199,0.03569476109428719,0.027076166986864963,0.006677561761976344,0.028711742195949633,0.007252230739221391,0.025151948799138235,0.010254762135837479,0.03618397085077496,0.030394125380737772,0.026427498871425984,0.014248223416467068,0.011039780862284495,0.02886588989113777,0.028020850824245006,0.004320440969814209,0.005792780008644796,0.010101535080747749,0.01819281868408752,0.018210644588620838,0.014139003655980191,0.0002811258012199451,0.004204535915827315,0.03677898362685619,0.02821879883808452,0.002123385880394337,0.03336522883315756,0.0054500171536307224,0.02462863298502005,0.03374894612522447
1390,5.239392363136076,12.204998022136058,0.42928252455538735,0.00043603600748274755,0.03389676556100887,0.012179405792748517,0.022582963880603577,0.033505812378261404,0.0013958416780760102,0.018288755904639627,0.009211337219312771,0.020893071794933864,0.021667141922828967,0.018825558946692578,5.8631400368631465e-05,0.0019600667523003924,0.026406209230830886,0.022426450471744436,0.031183588101035258,0.017638723782286727,0.007582784512525054,0.019373037650212952,0.02517871706989895,0.011958081152376,0.009332736371213178,0.006376444535334285,0.009153811138716588,0.004244936688896319,0.03195901896942259,0.009971047434498389,0.020413010880240622,0.017389400906738222,0.003719879374794495,0.03844565297371108,0.00520241000416736,0.006876193357138941,0.02860455601674365,0.01152854527054228,0.035930744052900206,0.006144323442711102,0.02171030537843606,0.00969248084689257,0.02853920847822112,0.030511442056232112,0.01845683914159488,0.003847197155403051,0.03802113310779935,0.023327921144557406,0.027005119030748294,0.03205416868122213,0.026933016488057133,0.0075650064717428965,0.012711189984649164,0.03024357116204542,0.03649484544878024,0.022646651987786738,0.014348185709276874,0.013950025098617043
1854,5.239008516723952,13.170954722383179,0.3977698372784319,0.016717816907504165,0.02957219011328829,0.0008649766074294534,0.02170942417552781,0.024039911287656382,0.019637026553125585,0.01714089279937471,0.0042848990650582635,0.0016386264176852924,0.0022491656884575913,0.001356086043682194,0.003832132493120571,0.014392232571564913,0.026495937455174756,0.016719853609759357,0.004377564775972601,0.02205005543879467,0.025740414761669602,0.029544330924599647,0.012759799943907373,0.030880013358869897,0.02628147271866264,0.01237888116956172,0.005591227708468897,0.020194374792586605,0.030827459245675305,0.02467679975313056,0.005821215030501982,0.03173667287890049,0.01761107791774862,0.020234940471786138,0.019280718786273795,0.018648071213345867,0.013202035148980754,0.02439331027910573,0.02387501387019484,0.03440812864096008,0.02113427622786285,0.013859106116808224,0.012418165926837131,0.017936617467623255,0.02949538907711081,0.00685026847888284,0.01782708428775377,0.0190763206986044,0.02844489606842024,0.015241949214340801,0.023291227159573803,0.007701825811090786,0.026584569863239826,0.02176350211110174,0.012261478229267892,0.024886098144593655,0.012265768408136783,0.03379670609064406
377,5.238304544057539,14.042775994604472,0.37302485961965104,0.010592582292765985,0.02423707997866561,0.020291997336789935,0.023460222633006803,0.030502771492664095,0.027289536136144592,0.018042977522131857,0.012021679324964764,0.015845794879178844,0.007327700289122539,0.004331193277674913,0.031484933000545,0.026844274263560616,0.017065702654295127,0.021347810559601284,0.005881631883731485,0.012709279832749115,0.012634494621798805,0.010821981796980483,0.027898147935123307,0.03174105640159536,0.0311084567338261,0.02983148936673607,0.004775355609670089,0.020061666028130292,0.019940819083807373,0.020327130785666947,0.022716347741739938,0.01271727194334166,0.03422729806482081,0.022403870595413128,0.021611981959262935,0.033656088280242524,0.0018667303346423679,0.0322251416293303,0.011793208807224247,0.007001575176036598,0.018917157153254007,0.009025827938834597,0.027597496999105024,0.027027648061775232,0.026271765043660553,0.024993671237061484,0.00543727848599482,0.015694020580740844,0.00893855970879381,0.006512800769331951,0.0031915794790857766,0.02149176871499465,0.019880256760207805,0.001033416943229777,0.010933744883210991,0.023683421063435205,0.0025815738721894003,0.02815073205211239
148,5.238276719931829,13.546896525101438,0.3866772518875946,0.03195658150699134,0.01199397336682028,0.021916513943872257,0.02563096455344192,0.026631888911679516,0.023923529193491107,0.016996085858720686,0.018224615261919853,0.01725255707507188,0.013611719809573377,0.02836219684970779,0.001313246475147966,0.009746426101420307,0.0019644589916017136,0.024368580420550113,0.03318293533654121,0.0019463002421073628,0.014634290081914535,0.03056966270416687,0.011408337754273428,0.0312995638743505,0.02088494497060495,0.017154822848880705,0.0004902505647896426,0.02612870337695624,0.018946272176407316,0.013909633728029999,0.0055493893118206735,0.03313243472313632,0.027372683348560262,0.012652100232593942,0.013890884356274552,0.011936470789171557,0.018655645934480505,0.0037483767232944732,0.03676437784860934,0.016970307196142776,0.01889096611316429,0.006458622912414388,0.036980652859599124,0.021685737977997662,0.015413191440241343,0.004493362814039038,0.015322932249461284,0.00324292483248099,0.0018621309900218692,0.02673414693070096,0.02171833350363592,0.004805625166482053,0.027133443743408685,0.030879475449964933,0.03273618372428232,0.0018465098265299732,0.0166711214504756,0.03800291157198217
1609,5.235683436667118,11.542861371227513,0.4535862701875571,0.0005572102116636968,0.025012864512556954,0.003104439380857071,0.016924649754488194,0.0153297244944262,0.010242146904722875,0.001884267198467264,0.0251593288142923,0.00365095554205984,0.0004190832782966852,0.006989720597496561,0.02060638945306493,0.006390921923720549,0.04374471168212685,0.011772916286665588,0.012375780719081807,0.0026575450494458774,0.0026708956792473996,0.0033539374126629142,0.009569244511479322,0.00494821678914882,0.03135176256015291,0.016552498597985355,0.01720259375913517,0.043386767928428153,0.021565529827825912,0.016775565827363968,0.044339217010973125,0.013057541682835742,0.04055890656720911,0.0158140886663401,0.01165229499515128,0.020538765330690024,0.04427550129200058,0.029845804400595394,0.04160716999109435,0.03679967653588301,0.027333346744397764,0.02625929001824575,0.027877755797674108,0.011345448342359699,0.028232904754630826,0.025931482518073968,0.020023959382455967,0.001493637276146208,0.0005188055541442822,0.012743156471364881,0.007261897679789763,0.025437640598127063,0.007519365133198761,0.04662617101761769,0.012139804275491753,0.01662895776485528,0.002038287288417833,0.027899454213372404
1771,5.2356462817382585,12.620739425328122,0.41484465412787325,0.01171504396087638,0.02360742404836454,0.0073073211974813345,0.024757008940385104,0.010734823834443612,0.020989644686749555,0.026995291441245753,0.018647986946193566,0.013698382795680506,0.019616634462517015,0.0006692900429236239,0.0308073041877542,0.010156278790810032,0.0002508531786644831,0.03436260803171196,0.009842857853945345,0.025658674883075813,0.02229227367878358,0.02709248954929274,0.026061969199269227,0.00972601646814536,0.022031327361295466,0.008273932284257657,0.017840671518990936,0.01004091839429076,0.018304774961724755,0.01823441947947449,0.010594593707219884,0.009737363701578785,0.016362243417030305,0.00406190749422945,0.030764965784296324,0.031924332709783745,0.009495474231392527,0.025147540218578898,0.009290593577216146,0.009448001571343604,0.037164671768393415,0.0255293275052976,0.03640768205784889,0.0035061138248854745,0.004355662906472978,0.029581807191684927,0.029684800944058634,0.0067947923106243075,0.016013083112675623,0.03142923387532973,0.002148408386117692,0.01264479236928464,0.012777107360027639,0.012014606238354557,0.03621370153019482,0.01793913922931083,0.036873424680911225,0.02237840611750955
10,5.234960219192382,12.217942005733805,0.4284649752581611,0.0053510084955940606,0.0362384781104419,0.024727195425190442,0.013993857574048,0.01319375732560753,0.01051605133001112,0.01984764303497032,0.005641096651741021,0.011689022671205012,0.026401369786986848,0.0002459286003499527,0.033380995282786756,0.026777400446945834,0.008301204585487176,0.019186182428070873,0.00013581823513655983,0.015045941955292222,0.017217363354094715,0.015721735588045415,0.034597577833196634,0.02180353387387537,0.017660880670278586,0.0141537901797356,0.015283549405622899,0.027883201078708727,0.0036152806845320385,0.031051957879211122,0.007311773306600698,0.01922429266287865,0.01876738915904347,0.0003555928535693335,0.01886837810694542,0.007917751247173048,0.019944476611165017,0.0214304208659067,0.01879766536981149,0.02593218755482295,0.02247962297659715,0.033188029347717404,0.03490174969922011,0.014013224051616794,0.000976973966151286,0.0045144497577586035,0.019824291628504388,0.026364496267819892,0.027842842947966375,0.03322758377910774,0.028233416443335966,0.018908953664039954,0.02628407144017788,0.024278540653338815,0.001839260653278443,0.02431224029907524,0.023761115844484395,0.006837386354726014
